country,age,education,gender,ethnicity,organization_type,job_industry,primary_job_function,current_role,planned_job_postings,python,r_programming,java,java_script,c_c++,c#,julia,html_css,bash_shell,sql,go,php,rust,typescript,"in_your_work,_how_much_more_time_have_you_spent_this_year_on_generative_ai_techniques_such_as_generative_adversarial_networks_gans,_variational_autoencoders_vaes,_or_transformer_models_compared_to_last_year",what_are_you_using_generative_ai_for_select_all_that_apply__selected_choice,has_your_company_already_hired_or_plan_on_hiring_any_of_the_following_roles_select_all_that_apply__selected_choice,"what_topics,_tools,_or_skills_are_covered_in_your_courses_in_preparation_for_entering_the_data_science_ml_field_select_all_that_apply","in_your_opinion,_what_is_the_biggest_obstacle_to_obtaining_the_experience_required_for_a_career_in_data_science_or_related_fields__selected_choice",what_would_be_your_ideal_job_title__selected_choice
AFGHANISTAN,58-67,NO DEGREE,OTHER (PLEASE INDICATE),OTHER (PLEASE INDICATE),NOT-FOR-PROFIT ORGANIZATION,NOT FOR PROFIT,OTHER (PLEASE INDICATE BELOW),OTHER,,25,,78,,25,16,,,,,,,,,LESS,"DATA CLEANING, VISUALIZATION, ANALYSIS,OTHER (PLEASE INDICATE BELOW)",OTHER (PLEASE INDICATE BELOW),,,
ALBANIA,42-57,HIGH SCHOOL OR EQUIVALENT,FEMALE,WHITE,NOT-FOR-PROFIT ORGANIZATION,,DATA ENGINEER,DATA SCIENCE PRACTITIONER,,,,,,,,,,,,,,,,LESS,"CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.),AUTOMATING TASKS","AI DATA ANALYST,PROMPT ENGINEER",,,
ALBANIA,26-41,HIGH SCHOOL OR EQUIVALENT,MALE,WHITE,COMMERCIAL (FOR-PROFIT) ENTITY,,DATA ENGINEER,DATA SCIENCE PRACTITIONER,,,,,,,,,,,,,,,,SLIGHTLY MORE,"CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.),AUTOMATING TASKS","AI DATA ANALYST,PROMPT ENGINEER,AI AUDITOR",,,
ALBANIA,58-67,HIGH SCHOOL OR EQUIVALENT,FEMALE,WHITE,NOT-FOR-PROFIT ORGANIZATION,,DATA ENGINEER,DATA SCIENCE PRACTITIONER,,,,,,,,,,,,,,,,SIGNIFICANTLY MORE,"DATA CLEANING, VISUALIZATION, ANALYSIS,CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.)","AI DATA ANALYST,PROMPT ENGINEER,AI AUDITOR",,,
ALBANIA,26-41,NO DEGREE,FEMALE,WHITE,NOT-FOR-PROFIT ORGANIZATION,,DATA ENGINEER,DATA SCIENCE PRACTITIONER,,,,,,,,,,,,,,,,SLIGHTLY MORE,"DATA CLEANING, VISUALIZATION, ANALYSIS,CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.)","AI ENGINEER,AI DATA ANALYST,AI AUDITOR",,,
ALBANIA,42-57,BACHELOR’S DEGREE,FEMALE,SOUTHEAST ASIAN,GOVERNMENT AGENCY,CONSULTING,APPLIED SCIENTIST,DATA SCIENCE PRACTITIONER,,57,22,24,14,31,28,11,20,15,27,29,27,26,0,THE SAME AMOUNT,AUTOMATING TASKS,AI ENGINEER,,,
ALBANIA,26-41,SOME COLLEGE,NON-BINARY,LATINE/HISPANIC,GOVERNMENT AGENCY,,APPLIED SCIENTIST,STUDENT,,,,,,,,,,,,,,,,,,,ENGINEERING SKILLS,LACK OF SOCIAL CAPITAL OR MENTOR RELATIONSHIPS,AI ENGINEER
ALBANIA,42-57,HIGH SCHOOL OR EQUIVALENT,MALE,WHITE,NOT-FOR-PROFIT ORGANIZATION,,RESEARCH SCIENTIST,STUDENT,,,,,,,,,,,,,,,,,,,BUSINESS KNOWLEDGE,SATURATED FIELD MAKES IT DIFFICULT TO STAND OUT,AI ENGINEER
ALBANIA,26-41,BACHELOR’S DEGREE,AGENDER,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBANIA,26-41,BACHELOR’S DEGREE,FEMALE,WHITE,COMMERCIAL (FOR-PROFIT) ENTITY,CONSTRUCTION,DATA ENGINEER,IT ADMIN / INFORMATION SECURITY,"AI DATA ANALYST,PROMPT ENGINEER",,,,,,,,,,,,,,,,,,,,
ALBANIA,26-41,SOME COLLEGE,FEMALE,WHITE,GOVERNMENT AGENCY,GOVERNMENT,SYSTEM ADMINISTRATOR,OTHER,,90,39,81,100,61,23,,100,38,66,48,100,63,74,THE SAME AMOUNT,AUTOMATING TASKS,AI AUDITOR,,,
ALBANIA,42-57,BACHELOR’S DEGREE,FEMALE,WHITE,GOVERNMENT AGENCY,ENERGY,ML ENGINEER,DATA SCIENCE PRACTITIONER,,42,26,67,33,49,34,45,60,42,54,41,44,52,44,THE SAME AMOUNT,"CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.),AUTOMATING TASKS","AI DATA ANALYST,PROMPT ENGINEER",,,
ALBANIA,26-41,SOME COLLEGE,FEMALE,LATINE/HISPANIC,COMMERCIAL (FOR-PROFIT) ENTITY,AUTOMOTIVE,BUSINESS ANALYST,IT ADMIN / INFORMATION SECURITY,"AI ENGINEER,PROMPT ENGINEER,MACHINE MANAGER",,,,,,,,,,,,,,,,,,,,
ALBANIA,18-25,HIGH SCHOOL OR EQUIVALENT,TWO-SPIRIT,BLACK,GOVERNMENT AGENCY,EDUCATION,RESEARCH SCIENTIST,DATA SCIENCE PRACTITIONER,,24,49,28,32,32,,,,,,,,,,THE SAME AMOUNT,AUTOMATING TASKS,AI AUDITOR,,,
ALBANIA,18-25,HIGH SCHOOL OR EQUIVALENT,TWO-SPIRIT,BLACK,GOVERNMENT AGENCY,EDUCATION,RESEARCH SCIENTIST,DATA SCIENCE PRACTITIONER,,27,62,26,28,28,,,,,,,,,,THE SAME AMOUNT,AUTOMATING TASKS,AI AUDITOR,,,
ALBANIA,26-41,MASTER’S DEGREE,AGENDER,WHITE,GOVERNMENT AGENCY,AUTOMOTIVE,RESEARCH SCIENTIST,STUDENT,,,,,,,,,,,,,,,,,,,ENGINEERING SKILLS,FINDING AN INTERNSHIP,DEVELOPER ADVOCATE
ALGERIA,26-41,BACHELOR’S DEGREE,MALE,WHITE,NOT-FOR-PROFIT ORGANIZATION,,DATA ENGINEER,DATA SCIENCE PRACTITIONER,,,,,,,,,,,,,,,,THE SAME AMOUNT,"CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.)","AI ENGINEER,AI DATA ANALYST,PROMPT ENGINEER",,,
ALGERIA,42-57,HIGH SCHOOL OR EQUIVALENT,MALE,WHITE,NOT-FOR-PROFIT ORGANIZATION,,DATA SCIENTIST,DATA SCIENCE PRACTITIONER,,,,,,,,,,,,,,,,LESS,"DATA CLEANING, VISUALIZATION, ANALYSIS","AI ENGINEER,AI DATA ANALYST,PROMPT ENGINEER",,,
ALGERIA,18-25,HIGH SCHOOL OR EQUIVALENT,NON-BINARY,WHITE,GOVERNMENT AGENCY,FOOD & BEVERAGE,RESEARCH SCIENTIST,STUDENT,,,,,,,,,,,,,,,,,,,"COMMUNICATION SKILLS,COMPUTER VISION/IMAGE PROCESSING",SATURATED FIELD MAKES IT DIFFICULT TO STAND OUT,DEVELOPER ADVOCATE
ALGERIA,42-57,BACHELOR’S DEGREE,TWO-SPIRIT,"EAST ASIAN,SOUTHEAST ASIAN",NOT-FOR-PROFIT ORGANIZATION,GOVERNMENT,DEVELOPER,IT ADMIN / INFORMATION SECURITY,PROMPT ENGINEER,,,,,,,,,,,,,,,,,,,,
ALGERIA,26-41,HIGH SCHOOL OR EQUIVALENT,FEMALE,PACIFIC ISLANDER,EDUCATIONAL INSTITUTION,FOOD & BEVERAGE,ML ENGINEER,STUDENT,,,,,,,,,,,,,,,,,,,"DEVELOPMENT LANGUAGES IN ADDITION TO PYTHON/R,ETHICS IN DATA SCIENCE/MACHINE LEARNING,SQL",LEARNING NEW LANGUAGES,AI ETHICIST
ALGERIA,26-41,HIGH SCHOOL OR EQUIVALENT,MALE,WHITE,EDUCATIONAL INSTITUTION,EDUCATION,DATA ENGINEER,PROFESSOR/RESEARCHER,,,,,,,,,,,,,,,,,,,,,
ALGERIA,26-41,SOME COLLEGE,MALE,WHITE,GOVERNMENT AGENCY,ELECTRONICS,DATA ENGINEER,DATA SCIENCE PRACTITIONER,,35,50,31,58,37,91,20,53,26,44,25,23,41,31,THE SAME AMOUNT,"CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.),AUTOMATING TASKS","PROMPT ENGINEER,AI ETHICIST",,,
ALGERIA,42-57,HIGH SCHOOL OR EQUIVALENT,FEMALE,EAST ASIAN,NOT-FOR-PROFIT ORGANIZATION,DEFENSE,PRODUCT MANAGER,DATA SCIENCE PRACTITIONER,,39,52,58,51,54,66,59,51,54,73,62,63,40,38,LESS,AUTOMATING TASKS,"AI DATA ANALYST,OTHER (PLEASE INDICATE BELOW)",,,
ALGERIA,,SOME COLLEGE,MALE,WHITE,GOVERNMENT AGENCY,AUTOMOTIVE,ML ENGINEER,PROFESSOR/RESEARCHER,,,,,,,,,,,,,,,,,,,,,
ALGERIA,42-57,MASTER’S DEGREE,TWO-SPIRIT,WHITE,COMMERCIAL (FOR-PROFIT) ENTITY,UTILITIES,RESEARCH SCIENTIST,DATA SCIENCE PRACTITIONER,,45,,,,,,,,47,,,,,,THE SAME AMOUNT,NOT CURRENTLY USING,COMPUTER VISION ENGINEER,,,
ALGERIA,18-25,SOME COLLEGE,FEMALE,WHITE,EDUCATIONAL INSTITUTION,FINANCE,DATA ENGINEER,IT ADMIN / INFORMATION SECURITY,AI ETHICIST,,,,,,,,,,,,,,,,,,,,
ALGERIA,26-41,MASTER’S DEGREE,TWO-SPIRIT,WHITE,GOVERNMENT AGENCY,AUTOMOTIVE,DATA SCIENTIST,STUDENT,,,,,,,,,,,,,,,,,,,ENGINEERING SKILLS,LACK OF SOCIAL CAPITAL OR MENTOR RELATIONSHIPS,ML ENGINEER
ALGERIA,26-41,BACHELOR’S DEGREE,MALE,WHITE,COMMERCIAL (FOR-PROFIT) ENTITY,ENGINEERING,DATA ENGINEER,DATA SCIENCE PRACTITIONER,,4,5,23,12,11,7,19,13,11,20,8,9,11,2,THE SAME AMOUNT,"DATA CLEANING, VISUALIZATION, ANALYSIS,CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.),AUTOMATING TASKS","AI ENGINEER,AI DATA ANALYST,PROMPT ENGINEER,AI AUDITOR,AI ETHICIST,COMPUTER VISION ENGINEER,BIG DATA ENGINEER",,,
ALGERIA,,BACHELOR’S DEGREE,FEMALE,PACIFIC ISLANDER,COMMERCIAL (FOR-PROFIT) ENTITY,ENERGY,DATA SCIENTIST,PROFESSOR/RESEARCHER,,,,,,,,,,,,,,,,,,,,,
ALGERIA,18-25,SOME COLLEGE,FEMALE,EAST ASIAN,NOT-FOR-PROFIT ORGANIZATION,EDUCATION,DEVELOPER,DATA SCIENCE PRACTITIONER,,67,70,53,75,68,68,69,61,60,69,62,72,71,59,LESS,"CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.)",AI DATA ANALYST,,,
ALGERIA,26-41,BACHELOR’S DEGREE,FEMALE,WHITE,GOVERNMENT AGENCY,EDUCATION,RESEARCH SCIENTIST,PROFESSOR/RESEARCHER,,,,,,,,,,,,,,,,,,,,,
ANDORRA,26-41,SOME COLLEGE,MALE,"EAST ASIAN,SOUTHEAST ASIAN",GOVERNMENT AGENCY,GOVERNMENT,DATA SCIENTIST,IT ADMIN / INFORMATION SECURITY,"AI AUDITOR,MACHINE MANAGER",,,,,,,,,,,,,,,,,,,,
ANDORRA,26-41,BACHELOR’S DEGREE,MALE,WHITE,COMMERCIAL (FOR-PROFIT) ENTITY,AGRICULTURE,DATA ENGINEER,DATA SCIENCE PRACTITIONER,,8,5,0,17,25,21,22,14,40,79,38,55,53,57,THE SAME AMOUNT,"CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.),AUTOMATING TASKS","AI ENGINEER,AI DATA ANALYST,AI AUDITOR",,,
ANDORRA,26-41,BACHELOR’S DEGREE,TWO-SPIRIT,WHITE,GOVERNMENT AGENCY,GOVERNMENT,DATA ENGINEER,DATA SCIENCE PRACTITIONER,,61,69,76,85,30,58,68,52,76,71,64,72,59,68,SLIGHTLY MORE,AUTOMATING TASKS,"AI ENGINEER,BIG DATA ENGINEER",,,
ANDORRA,26-41,SOME COLLEGE,MALE,LATINE/HISPANIC,COMMERCIAL (FOR-PROFIT) ENTITY,EDUCATION,DATA SCIENTIST,DATA SCIENCE PRACTITIONER,,43,79,36,57,71,43,25,50,42,38,48,47,22,44,THE SAME AMOUNT,"DATA CLEANING, VISUALIZATION, ANALYSIS,CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.)",AI DATA ANALYST,,,
ANDORRA,42-57,SOME COLLEGE,FEMALE,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,18-25,HIGH SCHOOL OR EQUIVALENT,FEMALE,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDORRA,26-41,SOME COLLEGE,FEMALE,WHITE,GOVERNMENT AGENCY,DEFENSE,NOT APPLICABLE (STUDENT),STUDENT,,,,,,,,,,,,,,,,,,,"DEVELOPMENT LANGUAGES IN ADDITION TO PYTHON/R,PROBABILITY AND STATISTICS,ETHICS IN DATA SCIENCE/MACHINE LEARNING,PYTHON",SATURATED FIELD MAKES IT DIFFICULT TO STAND OUT,AI AUDITOR
ANDORRA,18-25,DOCTORAL DEGREE,NON-BINARY,PACIFIC ISLANDER,NOT APPLICABLE (STUDENT),EDUCATION,NOT APPLICABLE (STUDENT),OTHER,,52,49,46,58,49,34,45,57,61,69,36,66,48,58,SIGNIFICANTLY MORE,NOT CURRENTLY USING,NONE OF THESE,,,
ANDORRA,18-25,SOME COLLEGE,FEMALE,LATINE/HISPANIC,GOVERNMENT AGENCY,EDUCATION,DEVELOPER,PROFESSOR/RESEARCHER,,,,,,,,,,,,,,,,,,,,,
ANDORRA,26-41,MASTER’S DEGREE,TWO-SPIRIT,WHITE,EDUCATIONAL INSTITUTION,AGRICULTURE,RESEARCH SCIENTIST,STUDENT,,,,,,,,,,,,,,,,,,,ENGINEERING SKILLS,LEARNING NEW LANGUAGES,ML ENGINEER
ANDORRA,42-57,HIGH SCHOOL OR EQUIVALENT,NON-BINARY,EAST ASIAN,NOT-FOR-PROFIT ORGANIZATION,ENERGY,DATA ENGINEER,PROFESSOR/RESEARCHER,,,,,,,,,,,,,,,,,,,,,
ANDORRA,18-25,BACHELOR’S DEGREE,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGOLA,18-25,SOME COLLEGE,TWO-SPIRIT,"BLACK,WHITE,LATINE/HISPANIC,EAST ASIAN,SOUTHEAST ASIAN,PACIFIC ISLANDER,DECLINE TO ANSWER",NOT-FOR-PROFIT ORGANIZATION,ENERGY,APPLIED SCIENTIST,IT ADMIN / INFORMATION SECURITY,"AI ENGINEER,AI DATA ANALYST,PROMPT ENGINEER,AI AUDITOR,AI ETHICIST,MACHINE MANAGER,COMPUTER VISION ENGINEER,BIG DATA ENGINEER",,,,,,,,,,,,,,,,,,,,
ANGOLA,26-41,HIGH SCHOOL OR EQUIVALENT,FEMALE,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGOLA,18-25,DOCTORAL DEGREE,MALE,EAST ASIAN,NOT-FOR-PROFIT ORGANIZATION,CONSULTING,DATA ENGINEER,DATA SCIENCE PRACTITIONER,,77,79,100,77,100,51,26,100,76,51,52,27,55,47,SLIGHTLY MORE,AUTOMATING TASKS,AI ENGINEER,,,
ANGOLA,26-41,MASTER’S DEGREE,FEMALE,WHITE,NOT-FOR-PROFIT ORGANIZATION,ELECTRONICS,DATA ENGINEER,DATA SCIENCE PRACTITIONER,,53,59,54,50,22,27,30,21,30,48,32,13,36,11,SLIGHTLY MORE,"CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.)",AI DATA ANALYST,,,
ANGOLA,26-41,BACHELOR’S DEGREE,MALE,WHITE,GOVERNMENT AGENCY,ENGINEERING,DATA SCIENTIST,IT ADMIN / INFORMATION SECURITY,AI DATA ANALYST,,,,,,,,,,,,,,,,,,,,
ANGOLA,18-25,MASTER’S DEGREE,FEMALE,WHITE,COMMERCIAL (FOR-PROFIT) ENTITY,ELECTRONICS,DATA SCIENTIST,DATA SCIENCE PRACTITIONER,,47,59,66,63,41,35,17,28,36,25,32,14,16,35,THE SAME AMOUNT,"DATA CLEANING, VISUALIZATION, ANALYSIS,CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.)","AI DATA ANALYST,PROMPT ENGINEER",,,
ANGOLA,26-41,SOME COLLEGE,MALE,WHITE,COMMERCIAL (FOR-PROFIT) ENTITY,MANUFACTURING,PRODUCT MANAGER,DATA SCIENCE PRACTITIONER,,20,22,,,,,,,,,,,,,THE SAME AMOUNT,"DATA CLEANING, VISUALIZATION, ANALYSIS",PROMPT ENGINEER,,,
ANGOLA,58-67,DOCTORAL DEGREE,FEMALE,WHITE,NOT-FOR-PROFIT ORGANIZATION,MANUFACTURING,RESEARCH SCIENTIST,PROFESSOR/RESEARCHER,,,,,,,,,,,,,,,,,,,,,
ANGOLA,26-41,BACHELOR’S DEGREE,FEMALE,WHITE,COMMERCIAL (FOR-PROFIT) ENTITY,ELECTRONICS,DATA ENGINEER,IT ADMIN / INFORMATION SECURITY,"AI DATA ANALYST,AI AUDITOR",,,,,,,,,,,,,,,,,,,,
ANGOLA,42-57,SOME COLLEGE,NON-BINARY,WHITE,COMMERCIAL (FOR-PROFIT) ENTITY,FINANCE,DATA SCIENTIST,OTHER,,49,,,,,,,,,,,,,,THE SAME AMOUNT,AUTOMATING TASKS,AI ENGINEER,,,
ANGOLA,18-25,SOME COLLEGE,FEMALE,WHITE,EDUCATIONAL INSTITUTION,INSURANCE,DATA SCIENTIST,IT ADMIN / INFORMATION SECURITY,"AI DATA ANALYST,PROMPT ENGINEER",,,,,,,,,,,,,,,,,,,,
ANGOLA,18-25,SOME COLLEGE,FEMALE,WHITE,EDUCATIONAL INSTITUTION,FOOD & BEVERAGE,DATA ENGINEER,IT ADMIN / INFORMATION SECURITY,"AI DATA ANALYST,PROMPT ENGINEER",,,,,,,,,,,,,,,,,,,,
ANGOLA,18-25,SOME COLLEGE,FEMALE,"LATINE/HISPANIC,EAST ASIAN,SOUTHEAST ASIAN",GOVERNMENT AGENCY,CONSULTING,RESEARCH SCIENTIST,DATA SCIENCE PRACTITIONER,,47,54,52,74,43,53,47,41,59,34,41,57,40,48,THE SAME AMOUNT,"CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.)","AI ENGINEER,AI AUDITOR,COMPUTER VISION ENGINEER,BIG DATA ENGINEER",,,
ANGOLA,18-25,DOCTORAL DEGREE,FEMALE,WHITE,NOT-FOR-PROFIT ORGANIZATION,FINANCE,DEVELOPER,IT ADMIN / INFORMATION SECURITY,"AI ENGINEER,AI AUDITOR",,,,,,,,,,,,,,,,,,,,
ANGOLA,26-41,DOCTORAL DEGREE,FEMALE,WHITE,NOT-FOR-PROFIT ORGANIZATION,FINANCE,RESEARCH SCIENTIST,IT ADMIN / INFORMATION SECURITY,"PROMPT ENGINEER,AI ETHICIST,COMPUTER VISION ENGINEER",,,,,,,,,,,,,,,,,,,,
ANGOLA,26-41,SOME COLLEGE,MALE,"BLACK,LATINE/HISPANIC",COMMERCIAL (FOR-PROFIT) ENTITY,MEDIA,DATA ENGINEER,DATA SCIENCE PRACTITIONER,,75,68,79,77,83,71,86,65,74,78,71,83,72,80,THE SAME AMOUNT,"DATA CLEANING, VISUALIZATION, ANALYSIS","AI AUDITOR,COMPUTER VISION ENGINEER",,,
ANGOLA,42-57,HIGH SCHOOL OR EQUIVALENT,MALE,EAST ASIAN,COMMERCIAL (FOR-PROFIT) ENTITY,ENGINEERING,RESEARCH SCIENTIST,IT ADMIN / INFORMATION SECURITY,"AI DATA ANALYST,COMPUTER VISION ENGINEER",,,,,,,,,,,,,,,,,,,,
ANGOLA,26-41,BACHELOR’S DEGREE,MALE,WHITE,COMMERCIAL (FOR-PROFIT) ENTITY,FOOD & BEVERAGE,PRODUCT MANAGER,DATA SCIENCE PRACTITIONER,,48,74,16,33,17,7,43,28,21,40,1,20,39,56,THE SAME AMOUNT,"DATA CLEANING, VISUALIZATION, ANALYSIS,CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.),AUTOMATING TASKS","PROMPT ENGINEER,AI AUDITOR,AI ETHICIST,BIG DATA ENGINEER",,,
ANGOLA,26-41,HIGH SCHOOL OR EQUIVALENT,MALE,WHITE,COMMERCIAL (FOR-PROFIT) ENTITY,ENGINEERING,PRODUCT MANAGER,IT ADMIN / INFORMATION SECURITY,"AI DATA ANALYST,COMPUTER VISION ENGINEER",,,,,,,,,,,,,,,,,,,,
ANGOLA,18-25,BACHELOR’S DEGREE,AGENDER,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTIGUA & DEPS,26-41,SOME COLLEGE,FEMALE,WHITE,NOT-FOR-PROFIT ORGANIZATION,ENGINEERING,DATA SCIENTIST,DATA SCIENCE PRACTITIONER,,25,40,36,18,32,24,34,7,22,18,23,29,20,47,THE SAME AMOUNT,AUTOMATING TASKS,PROMPT ENGINEER,,,
ANTIGUA & DEPS,26-41,SOME COLLEGE,MALE,WHITE,NOT-FOR-PROFIT ORGANIZATION,INSURANCE,DEVELOPER,DATA SCIENCE PRACTITIONER,,77,53,100,80,54,100,72,100,82,63,83,94,100,78,THE SAME AMOUNT,"CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.)",PROMPT ENGINEER,,,
ANTIGUA & DEPS,58-67,DOCTORAL DEGREE,MALE,WHITE,GOVERNMENT AGENCY,DEFENSE,ML ENGINEER,PROFESSOR/RESEARCHER,,,,,,,,,,,,,,,,,,,,,
ANTIGUA & DEPS,18-25,SOME COLLEGE,FEMALE,WHITE,GOVERNMENT AGENCY,EDUCATION,DATA ENGINEER,DATA SCIENCE PRACTITIONER,,98,81,100,100,88,100,100,100,96,100,100,93,100,95,THE SAME AMOUNT,AUTOMATING TASKS,AI ETHICIST,,,
ANTIGUA & DEPS,26-41,SOME COLLEGE,FEMALE,BLACK,COMMERCIAL (FOR-PROFIT) ENTITY,CONSTRUCTION,DATA ENGINEER,DATA SCIENCE PRACTITIONER,,52,27,60,44,24,27,,24,37,35,55,55,36,53,SLIGHTLY MORE,"DATA CLEANING, VISUALIZATION, ANALYSIS,CONTENT CREATION (IMAGES, VIDEO, WRITTEN WORD, ETC.),AUTOMATING TASKS","AI ENGINEER,AI AUDITOR,AI ETHICIST,COMPUTER VISION ENGINEER",,,
